,country,method,MAE,MSE,RMSE
0,CHN,Mean,1.6565816,3.321583,1.8225211
1,GBR,Mean,3.1300342,12.37244,3.517448
2,HKG,Mean,0.50680196,0.351103,0.5925394
3,IND,Mean,0.93345946,1.4953167,1.2228315
4,IRN,Mean,5.188987,38.098564,6.1724033
5,ITA,Mean,4.752258,23.34151,4.8313055
6,RUS,Mean,1.127569,1.756595,1.325366
7,USA,Mean,0.66773254,0.6893723,0.8302845
8,VNM,Mean,0.27527982,0.09472934,0.3077813
9,ZAF,Mean,3.8579335,15.175719,3.8956025
10,CHN,Median,2.5108824,7.448076,2.7291162
11,GBR,Median,2.953459,13.503555,3.6747184
12,HKG,Median,0.4350917,0.2100029,0.45826074
13,IND,Median,0.9454225,1.4593381,1.2080307
14,IRN,Median,5.4281864,50.959045,7.1385603
15,ITA,Median,4.1486993,18.481726,4.299038
16,RUS,Median,0.89176714,1.2176204,1.1034584
17,USA,Median,0.83144784,1.0681103,1.0334942
18,VNM,Median,0.27747262,0.09634827,0.3104002
19,ZAF,Median,4.507684,20.748837,4.555089
20,CHN,LOCF,2849152700000.0,8.5891286e+24,2930721400000.0
21,GBR,LOCF,478260950000.0,4.0060012e+23,632929800000.0
22,HKG,LOCF,114319385000.0,1.3765713e+22,117327370000.0
23,IND,LOCF,2.2366574,8.843939,2.973876
24,IRN,LOCF,23.132383,554.05505,23.538374
25,ITA,LOCF,1409143500000.0,2.0546449e+24,1433403300000.0
26,USA,LOCF,1156660000000.0,1.9078866e+24,1381262700000.0
27,ZAF,LOCF,0.7704646,0.85461414,0.92445344
28,CHN,NOCB,3.5794604,14.623458,3.824063
29,GBR,NOCB,7.51139,58.98535,7.680192
30,HKG,NOCB,114112260000.0,1.3823656e+22,117574040000.0
31,IND,NOCB,0.93544924,1.2121756,1.1009885
32,ITA,NOCB,1.7635015,3.6594596,1.9129714
33,RUS,NOCB,2.8459024,8.891617,2.9818814
34,USA,NOCB,2311.5415,6940840.0,2634.5474
35,VNM,NOCB,1473.8236,2385875.8,1544.628
36,ZAF,NOCB,0.3705659,0.22366871,0.47293627
37,CHN,Rolling statistics,1931005900000.0,4.103475e+24,2025703600000.0
38,GBR,Rolling statistics,627584340000.0,4.0148002e+23,633624500000.0
39,HKG,Rolling statistics,68128970000.0,5.18139e+21,71981875000.0
40,IND,Rolling statistics,2.152808,5.6953073,2.3864844
41,IRN,Rolling statistics,5.1343584,30.180323,5.493662
42,ITA,Rolling statistics,788695800000.0,6.243395e+23,790151560000.0
43,USA,Rolling statistics,871586860000.0,1.0342714e+24,1016991300000.0
44,ZAF,Rolling statistics,0.35612592,0.20897856,0.45714173
45,CHN,Interpolate,2732382000000.0,7.974007e+24,2823828500000.0
46,GBR,Interpolate,288846700000.0,1.3190974e+23,363193800000.0
47,HKG,Interpolate,107357890000.0,1.2173161e+22,110332050000.0
48,IND,Interpolate,1.9084674,5.949178,2.4390938
49,IRN,Interpolate,23.113216,564.8108,23.765749
50,ITA,Interpolate,1467928800000.0,2.268573e+24,1506178200000.0
51,USA,Interpolate,977808900000.0,1.4270051e+24,1194573200000.0
52,ZAF,Interpolate,0.7307166,0.7429208,0.8619285
