Country,Type,MAE,RMSE,MAPE
Australia,Multivariate,0.48-0.69,0.66-1.01,0.06-0.1
Australia,Univariate,0.06-0.31,0.07-0.32,0.01-0.04
Brazil,Multivariate,0.32-2.43,0.35-2.46,0.03-0.2
Brazil,Univariate,0.71-1.46,0.73-1.46,0.06-0.12
Canada,Multivariate,1.5-1.73,1.55-1.84,0.13-0.16
Canada,Univariate,1.21-2.46,1.22-2.48,0.1-0.23
China,Multivariate,0.72-2.18,0.94-2.32,0.02-0.07
China,Univariate,1.34-3.0,1.67-3.28,0.04-0.1
India,Multivariate,0.26-0.9,0.3-0.97,0.02-0.06
India,Univariate,0.06-0.88,0.07-1.0,0.0-0.06
Japan,Multivariate,1.14-1.54,1.25-1.59,0.06-0.08
Japan,Univariate,0.3-1.03,0.31-1.04,0.01-0.05
Singapore,Multivariate,2.81-3.41,2.92-3.42,0.14-0.17
Singapore,Univariate,2.03-4.13,2.18-4.14,0.1-0.21
United Kingdom,Multivariate,0.93-2.33,1.1-2.49,0.09-0.25
United Kingdom,Univariate,0.08-0.6,0.09-0.63,0.01-0.06
United States,Multivariate,0.33-0.74,0.34-0.76,0.03-0.06
United States,Univariate,0.08-0.22,0.09-0.23,0.01-0.02
